iter	Logloss
0	0.5618412129
1	0.4603341501
2	0.349213229
3	0.3062127084
4	0.2641562137
5	0.238686761
6	0.215949691
7	0.1807912101
8	0.1526865201
9	0.1443586562
10	0.1215884848
11	0.1063623782
12	0.09474030486
13	0.09094062703
14	0.08724035772
15	0.0772509053
16	0.0722203322
17	0.06822570439
18	0.06493231087
19	0.06278802242
20	0.05963791748
21	0.05771857194
22	0.05529147713
23	0.05433316214
24	0.05338925863
25	0.0498116185
26	0.04846656869
27	0.04653472915
28	0.0450163268
29	0.04429315582
30	0.04359993982
31	0.04078450352
32	0.03996689428
33	0.038729734
34	0.03817194954
35	0.03787777308
36	0.03737408803
37	0.03642870603
38	0.03530337325
39	0.03453063167
40	0.03230479752
41	0.03101458751
42	0.03037059317
43	0.02942646554
44	0.02885887363
45	0.0278377926
46	0.02761529768
47	0.02617549895
48	0.02509734635
49	0.02467815312
50	0.02426440472
51	0.02396129253
52	0.02336130686
53	0.02293685108
54	0.02256106578
55	0.02223468423
56	0.0219233204
57	0.02174485868
58	0.02116424029
59	0.02085497764
60	0.02036362824
61	0.02005231404
62	0.01960476032
63	0.01923016824
64	0.01899030279
65	0.01858825943
66	0.01812449714
67	0.01763161402
68	0.01724823109
69	0.01710849103
70	0.01675468363
71	0.01653747299
72	0.0159495718
73	0.01569129864
74	0.01539168084
75	0.01500203697
76	0.01463437845
77	0.01425989347
78	0.01395705643
79	0.01373363679
80	0.01349984162
81	0.01329280184
82	0.01313474299
83	0.0130222559
84	0.01288879491
85	0.01270771484
86	0.01235378603
87	0.01224354605
88	0.01205772677
89	0.01172249163
90	0.01139693231
91	0.01127213842
92	0.01113651285
93	0.0109959052
94	0.01071971821
95	0.01057815589
96	0.01032615472
97	0.01002799027
98	0.009929251754
99	0.009888213935
